Unnamed: 0,Unnamed: 0_x,neuron_idx,logitvar,norm_out_weight,Unnamed: 0_y,rho,norm,neuron_index
1159,1159,1159,7.722058944636956e-05,0.4511140286922455,1159,0.9150103,0.45111403,1159
1674,1674,1674,7.781552994856611e-05,0.4988477528095245,1674,0.9366161,0.49884775,1674
2564,2564,2564,4.622532651410438e-05,0.558603048324585,2564,0.9627363,0.55860305,2564
2799,2799,2799,9.140159818343818e-05,0.6760129928588867,2799,0.88109994,0.676013,2799
4097,4097,4097,9.197402687277644e-05,0.7053806781768799,4097,0.88388336,0.7053807,4097
5021,5021,5021,6.454956019297242e-05,0.3782905638217926,5021,0.95723933,0.37829056,5021
5311,5311,5311,0.000107789885078,0.6814106106758118,5311,0.89120764,0.6814106,5311
11680,11680,11680,0.0001131797398556,0.5284119248390198,11680,0.8979438,0.5284119,11680
12111,12111,12111,9.115976718021555e-05,0.8440259099006653,12111,0.8876309,0.8440259,12111
12514,12514,12514,7.439732871716842e-05,0.6192117929458618,12514,0.91254497,0.6192118,12514
